query,label,stance_1,stance_2,stance_3,stance_4,stance_5,h_index1_mean,current_score1_mean,recent_weighted_h_index1_mean,recent_weighted_citation_count1_mean,citation_count1_mean,citations_hindex_wavg1_mean,h_index2_mean,current_score2_mean,recent_weighted_h_index2_mean,recent_weighted_citation_count2_mean,citation_count2_mean,citations_hindex_wavg2_mean,h_index3_mean,current_score3_mean,recent_weighted_h_index3_mean,recent_weighted_citation_count3_mean,citation_count3_mean,citations_hindex_wavg3_mean,h_index4_mean,current_score4_mean,recent_weighted_h_index4_mean,recent_weighted_citation_count4_mean,citation_count4_mean,citations_hindex_wavg4_mean,h_index5_mean,current_score5_mean,recent_weighted_h_index5_mean,recent_weighted_citation_count5_mean,citation_count5_mean,citations_hindex_wavg5_mean,rel
Ginkgo biloba for cognitive impairment and dementia,2,1,2,3,4,5,37.13503649635037,12.5,513.4580291970804,290.0,20.5,1026.375,22.354014598540147,14.0,312.95620437956205,140.0,10.0,612.5,19.829683698296837,12.0,245.8941605839416,149.0,12.666666666666666,336.84375,4.7627737226277365,9.2,42.31751824817518,56.8,9.0,187.25419921875,7.481751824817518,11.5,82.52737226277372,87.75,7.0,272.765625,15
Glucosamine therapy for treating osteoarthritis,1,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,15.054744525547445,16.0,240.87591240875912,16.0,1.0,0.0,16.449426485922835,11.285714285714286,184.07194994786235,57.714285714285715,5.142857142857143,149.90848214285714,3.3454987834549876,13.0,48.11435523114355,62.666666666666664,4.666666666666667,208.20833333333334,11
Honey for acute cough in children,4,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,22.354014598540147,9.5,212.36313868613138,44.0,4.5,88.53515625,8.954640250260686,11.571428571428571,109.30656934306569,68.28571428571429,9.0,84.13448660714286,5.364963503649635,10.6,52.06204379562043,44.6,5.2,61.85,14
Omega 3 fatty acids for the treatment of dementia,2,1,2,3,4,5,0,0,0,0,0,0,12.317518248175181,12.0,162.86496350364962,308.0,44.333333333333336,665.1961263020834,10.006082725060827,12.666666666666666,128.16301703163018,170.0,13.0,259.4817708333333,12.828467153284672,14.6,190.71167883211677,248.2,18.6,530.39375,10.538321167883211,14.0,147.62773722627736,280.0,22.0,664.5625,14
Probiotics  acute infectious diarrhoea,5,1,2,3,4,5,7.025547445255475,15.5,110.94890510948906,23.5,1.5,153.5,0,0,0,0,0,0,16.104014598540147,13.0,234.6715328467153,74.0,6.5,116.44921875,10.51094890510949,11.4,116.22262773722628,96.2,9.2,234.76875,5.761209593326382,11.428571428571429,78.98852971845672,31.857142857142858,2.4285714285714284,128.83928571428572,16
Vitamin C for preventing and treating the common cold,2,1,2,3,4,5,10.94890510948905,4.0,43.7956204379562,16.0,4.0,39.2421875,22.354014598540147,6.666666666666667,149.02676399026765,99.33333333333333,13.0,93.85188802083333,0,0,0,0,0,0,7.3175182481751815,10.0,71.27737226277371,52.8,5.2,102.62578125,5.839416058394161,4.0,22.992700729927005,3.0,1.5,35.5732421875,11
Chinese herbal medicine for atopic eczema,3,1,2,3,4,5,0,0,0,0,0,0,7.846715328467154,2.0,15.693430656934307,14.0,7.0,37.25439453125,8.211678832116789,15.5,126.45985401459855,45.5,3.0,140.875,10.561131386861312,9.5,124.54379562043795,16.25,1.75,13.4547119140625,7.778284671532846,13.75,96.85218978102189,57.25,5.0,63.7734375,11
Balneotherapy (or spa therapy) for rheumatoid arthritis,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,14.005474452554747,9.5,75.59306569343066,6.5,2.0,26.624267578125,7.39051094890511,5.333333333333333,31.204379562043794,30.333333333333332,6.666666666666667,45.967325846354164,4.714111922141119,10.666666666666666,51.15571776155718,20.666666666666668,2.0,40.75,10
Rutosides for prevention of post-thrombotic syndrome,3,1,2,3,4,5,22.26277372262774,13.333333333333334,296.8369829683698,30.666666666666668,2.3333333333333335,85.41666666666667,0,0,0,0,0,0,22.962287104622874,11.333333333333334,259.3065693430657,55.666666666666664,5.333333333333333,82.89973958333333,18.582725060827247,8.0,138.80778588807786,85.66666666666667,10.666666666666666,89.64453125,0,0,0,0,0,0,9
Hypnosis for induction of labour,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,14.142335766423358,14.5,201.0036496350365,218.0,15.5,326.03125,22.26277372262774,6.5,144.7080291970803,74.0,10.0,35.1964111328125,0,0,0,0,0,0,4
Herbal preparations for uterine fibroids,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,22.26277372262774,12.0,267.15328467153284,36.0,3.0,82.8125,4.531630170316302,10.666666666666666,47.62773722627738,43.333333333333336,4.0,64.36458333333333,3.1934306569343067,7.666666666666667,20.833333333333332,6.333333333333333,1.0,2.1692708333333335,7
Melatonin for the treatment of dementia,2,1,2,3,4,5,13.731751824817518,12.0,167.9288321167883,76.0,6.0,214.53125,10.583941605839415,12.0,127.00729927007299,72.0,6.0,303.75,11.13138686131387,15.0,178.1021897810219,28.0,2.0,95.125,8.6830900243309,13.833333333333334,123.87469586374698,19.0,1.3333333333333333,62.583333333333336,0.0,9.0,0.0,0.0,0.0,0.0,12
Therapeutic touch for anxiety disorders,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.102189781021898,14.0,43.43065693430657,0.0,0.0,0.0,4.014598540145985,3.0,12.043795620437955,3.0,1.0,18.0,2
Low-fat diets for acquired hypercholesterolaemia,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.678832116788321,12.0,140.14598540145985,24.0,2.0,16.15625,1
Music interventions for preoperative anxiety,5,1,2,3,4,5,5.930656934306569,11.0,65.23722627737226,44.0,4.0,39.9375,0,0,0,0,0,0,0,0,0,0,0,0,7.682481751824817,11.2,74.92700729927006,67.6,6.6,134.900390625,7.858120437956204,13.75,93.3736313868613,31.25,4.0,61.5931396484375,14
Valerian for anxiety disorders,3,1,2,3,4,5,12.317518248175183,15.0,184.76277372262774,30.0,2.0,187.0,0.0,10.0,0.0,20.0,2.0,37.5,0,0,0,0,0,0,6.2226277372262775,12.0,78.22992700729928,5.2,0.4,23.6,0,0,0,0,0,0,7
Acupuncture for glaucoma,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,16.605839416058394,7.0,133.2116788321168,39.0,6.0,107.296875,2.6003649635036497,15.0,40.237226277372265,8.0,0.5,28.75,3.3454987834549876,13.0,43.49148418491484,12.666666666666666,1.0,41.666666666666664,7
Phlebotonics for haemorrhoids,4,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,22.26277372262774,9.0,200.36496350364965,18.0,2.0,1.71875,0,0,0,0,0,0,0,0,0,0,0,0,1
Acupuncture for mumps in children,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,17.38138686131387,14.5,244.7080291970803,14.5,1.0,26.5,0,0,0,0,0,0,0,0,0,0,0,0,2
Vitamin B for treating peripheral neuropathy,3,1,2,3,4,5,5.109489051094891,1.0,5.109489051094891,3.0,3.0,10.4375,0,0,0,0,0,0,0,0,0,0,0,0,9.05109489051095,12.6,117.7189781021898,8.8,1.2,65.13984375,0,0,0,0,0,0,6
Thermotherapy for treating rheumatoid arthritis,4,1,2,3,4,5,0,0,0,0,0,0,22.26277372262774,16.0,356.2043795620438,0.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,122.0,15.115571776155718,12.0,231.41727493917278,0.0,0.0,0.0,12.773722627737227,10.5,167.33576642335765,0.0,0.0,0.0,7
Horticultural therapy for schizophrenia,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.885036496350365,14.5,84.03284671532846,61.5,4.5,118.4375,0,0,0,0,0,0,2
Vitamin C for preventing and treating pneumonia,4,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.085766423357663,6.75,84.48905109489051,28.0,3.75,41.5595703125,4.288321167883212,10.333333333333334,42.79197080291971,95.66666666666667,10.333333333333334,138.28645833333334,7
Phlebotonics for venous insufficiency,4,1,2,3,4,5,22.26277372262774,14.0,311.6788321167883,7.5,0.5,14.5,0,0,0,0,0,0,22.26277372262774,5.0,111.3138686131387,25.0,5.0,5.20751953125,22.26277372262774,13.5,300.5474452554745,31.5,2.5,31.25,2.4635036496350367,14.0,34.48905109489051,0.0,0.0,0.0,8
Creatine for treating muscle disorders,5,1,2,3,4,5,11.13138686131387,5.0,55.65693430656935,25.0,5.0,67.734375,20.20985401459854,7.0,131.47810218978103,60.0,8.0,168.625,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.0,0.0,60.0,6.0,172.53125,4
Thymic peptides for treatment of cancer patients,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.905109489051096,6.0,206.93430656934305,31.5,3.5,149.375,31.478102189781023,8.0,251.82481751824818,104.0,13.0,162.421875,3
Acupuncture for stroke rehabilitation,4,1,2,3,4,5,12.226277372262773,13.0,158.94160583941604,52.0,4.0,136.0,15.41970802919708,4.0,61.67883211678832,32.0,8.0,83.5009765625,2.7372262773722627,16.0,43.7956204379562,0.0,0.0,0.0,6.234793187347932,15.833333333333334,97.56690997566909,12.833333333333334,0.8333333333333334,26.875,5.599908759124087,15.75,89.47308394160584,27.75,1.75,48.09375,17
Hypnosis for schizophrenia,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,22.26277372262774,13.0,289.4160583941606,13.0,1.0,21.25,0,0,0,0,0,0,0,0,0,0,0,0,1
Acupuncture for epilepsy,1,1,2,3,4,5,12.043795620437956,4.333333333333333,81.14355231143553,23.666666666666668,5.0,45.20911661783854,22.26277372262774,8.0,178.1021897810219,32.0,4.0,10.46484375,7.968369829683698,9.666666666666666,77.5243309002433,35.333333333333336,3.6666666666666665,18.395833333333332,5.200729927007299,12.0,67.88321167883213,20.0,2.5,56.875,2.995742092457421,11.166666666666666,33.5918491484185,33.5,3.0,78.234375,15
Fermented milk for hypertension,1,1,2,3,4,5,6.843065693430657,14.0,95.80291970802921,63.0,4.5,161.125,0,0,0,0,0,0,13.458029197080293,11.0,150.31934306569343,51.5,5.5,102.015625,12.864963503649635,7.0,90.05474452554745,63.0,9.0,95.7265625,12.192062043795621,12.0,135.9146897810219,60.5,6.0,149.2080078125,13
